time_step,method,task_id,position,urgency,duration
77,Q-Learning,E28,"(61, 14)",24,10.0
77,Q-Learning,E29,"(73, 21)",29,18.0
77,Q-Learning,E30,"(95, 1)",24,18.0
77,Q-Learning,E31,"(7, 23)",16,13.0
77,Q-Learning,E33,"(89, 55)",17,28.0
77,Q-Learning,E34,"(94, 21)",14,26.0
77,Q-Learning,E35,"(23, 49)",11,18.0
77,Q-Learning,E36,"(53, 60)",9,15.0
77,Q-Learning,E37,"(41, 43)",8,24.0
77,Q-Learning,E38,"(14, 12)",12,12.0
77,Q-Learning,E39,"(62, 47)",10,14.0
77,Q-Learning,E40,"(64, 42)",2,18.0
77,Q-Learning,E41,"(33, 98)",2,12.0
78,Greedy,E16,"(25, 53)",54,19.0
78,Greedy,E18,"(1, 27)",49,15.0
78,Greedy,E19,"(41, 18)",52,24.0
78,Greedy,E22,"(39, 92)",43,29.0
78,Greedy,E23,"(12, 20)",41,15.0
78,Greedy,E24,"(78, 42)",43,25.0
78,Greedy,E25,"(33, 41)",34,17.0
78,Greedy,E26,"(73, 66)",30,12.0
78,Greedy,E27,"(0, 68)",38,24.0
78,Greedy,E28,"(61, 14)",25,10.0
78,Greedy,E29,"(73, 21)",30,18.0
78,Greedy,E30,"(95, 1)",25,18.0
78,Greedy,E31,"(7, 23)",17,13.0
78,Greedy,E32,"(44, 26)",19,19.0
78,Greedy,E33,"(89, 55)",18,28.0
78,Greedy,E34,"(94, 21)",15,26.0
78,Greedy,E35,"(23, 49)",12,18.0
78,Greedy,E36,"(53, 60)",10,15.0
78,Greedy,E37,"(41, 43)",9,24.0
78,Greedy,E38,"(14, 12)",13,12.0
78,Greedy,E39,"(62, 47)",11,14.0
78,Greedy,E40,"(64, 42)",3,18.0
78,Greedy,E41,"(33, 98)",3,12.0
78,Greedy,E42,"(48, 74)",4,28.0
78,Auction,E17,"(92, 80)",55,22.0
78,Auction,E18,"(1, 27)",49,15.0
78,Auction,E19,"(41, 18)",52,24.0
