time_step,method,task_id,position,urgency,duration
24,Q-Learning,D14,"(87, 78)",8,14.0
25,Greedy,D6,"(23, 13)",21,19.0
25,Greedy,D7,"(42, 54)",12,13.0
25,Greedy,D8,"(55, 45)",11,24.0
25,Greedy,D9,"(45, 44)",16,11.0
25,Greedy,D10,"(62, 16)",8,25.0
25,Greedy,D11,"(98, 82)",15,11.0
25,Greedy,D12,"(36, 12)",6,24.0
25,Greedy,D13,"(92, 61)",11,13.0
25,Greedy,D14,"(87, 78)",9,14.0
25,Greedy,D15,"(21, 8)",2,23.0
25,Auction,D6,"(23, 13)",21,19.0
25,Auction,D7,"(42, 54)",12,13.0
25,Auction,D8,"(55, 45)",11,24.0
25,Auction,D9,"(45, 44)",16,11.0
25,Auction,D10,"(62, 16)",8,25.0
25,Auction,D11,"(98, 82)",15,11.0
25,Auction,D12,"(36, 12)",6,24.0
25,Auction,D13,"(92, 61)",11,13.0
25,Auction,D14,"(87, 78)",9,14.0
25,Auction,D15,"(21, 8)",2,23.0
25,Q-Learning,D1,"(26, 1)",26,21.0
25,Q-Learning,D2,"(34, 16)",23,16.0
25,Q-Learning,D6,"(23, 13)",21,19.0
25,Q-Learning,D7,"(42, 54)",12,13.0
25,Q-Learning,D9,"(45, 44)",16,11.0
25,Q-Learning,D10,"(62, 16)",8,25.0
25,Q-Learning,D11,"(98, 82)",15,11.0
25,Q-Learning,D12,"(36, 12)",6,24.0
25,Q-Learning,D14,"(87, 78)",9,14.0
25,Q-Learning,D15,"(21, 8)",2,23.0
26,Greedy,D6,"(23, 13)",22,19.0
26,Greedy,D7,"(42, 54)",13,13.0
26,Greedy,D8,"(55, 45)",12,24.0
26,Greedy,D9,"(45, 44)",17,11.0
26,Greedy,D10,"(62, 16)",9,25.0
26,Greedy,D11,"(98, 82)",16,11.0
26,Greedy,D12,"(36, 12)",7,24.0
26,Greedy,D13,"(92, 61)",12,13.0
26,Greedy,D14,"(87, 78)",10,14.0
26,Greedy,D15,"(21, 8)",3,23.0
26,Auction,D6,"(23, 13)",22,19.0
26,Auction,D7,"(42, 54)",13,13.0
26,Auction,D8,"(55, 45)",12,24.0
